Number of People,Number of Items,Optimal P-Envy,Wall Clock Time
1,1,0.0,0.005554914474487305
1,1,0.0,0.0051021575927734375
1,1,0.0,0.0051038265228271484
1,1,0.0,0.0052449703216552734
1,1,0.0,0.005136966705322266
1,1,0.0,0.0051670074462890625
1,1,0.0,0.005646228790283203
1,1,0.0,0.0052068233489990234
1,1,0.0,0.0046100616455078125
1,1,0.0,0.004650115966796875
1,1,0.0,0.004753828048706055
1,1,0.0,0.005344867706298828
1,1,0.0,0.005761146545410156
1,1,0.0,0.0053212642669677734
1,1,0.0,0.00445103645324707
1,1,0.0,0.005196094512939453
1,1,0.0,0.006588935852050781
1,1,0.0,0.004832744598388672
1,1,0.0,0.004875898361206055
1,1,0.0,0.004797935485839844
1,1,0.0,0.0045278072357177734
1,1,0.0,0.005021333694458008
1,1,0.0,0.004658222198486328
1,1,0.0,0.0045261383056640625
1,1,0.0,0.004485130310058594
1,1,0.0,0.005259990692138672
1,1,0.0,0.004504203796386719
1,1,0.0,0.004611968994140625
1,1,0.0,0.004533052444458008
1,1,0.0,0.004497051239013672
2,1,1.0,0.005789995193481445
2,1,1.0,0.007155895233154297
2,1,1.0,0.006758928298950195
2,1,1.0,0.005715847015380859
2,1,1.0,0.005576133728027344
2,1,1.0,0.006256818771362305
2,1,1.0,0.006840944290161133
2,1,1.0,0.0060918331146240234
2,1,1.0,0.005873203277587891
2,1,1.0,0.006790876388549805
2,1,1.0,0.006319999694824219
2,1,1.0,0.005589962005615234
2,1,1.0,0.005654573440551758
2,1,1.0,0.006146907806396484
2,1,1.0,0.006912946701049805
2,1,1.0,0.005965709686279297
2,1,1.0,0.005940914154052734
2,1,1.0,0.0073699951171875
2,1,1.0,0.006136894226074219
2,1,1.0,0.006087303161621094
2,1,1.0,0.00558781623840332
2,1,1.0,0.005980253219604492
2,1,1.0,0.006602048873901367
2,1,1.0,0.006757020950317383
2,1,1.0,0.005631923675537109
2,1,1.0,0.005767822265625
2,1,1.0,0.0057621002197265625
2,1,1.0,0.006379604339599609
2,1,1.0,0.0066297054290771484
2,1,1.0,0.005671024322509766
3,1,1.0,0.007136106491088867
3,1,1.0,0.008018016815185547
3,1,1.0,0.006866931915283203
3,1,1.0,0.0067560672760009766
3,1,1.0,0.006658077239990234
3,1,1.0,0.007046937942504883
3,1,1.0,0.0067768096923828125
3,1,1.0,0.006921052932739258
3,1,1.0,0.008046865463256836
3,1,1.0,0.007091045379638672
3,1,1.0,0.006705045700073242
3,1,1.0,0.007010936737060547
3,1,1.0,0.007605075836181641
3,1,1.0,0.007881879806518555
3,1,1.0,0.00669407844543457
3,1,1.0,0.0069942474365234375
3,1,1.0,0.006408214569091797
3,1,1.0,0.006339073181152344
3,1,1.0,0.006692171096801758
3,1,1.0,0.007578134536743164
3,1,1.0,0.0075991153717041016
3,1,1.0,0.006698131561279297
3,1,1.0,0.006639003753662109
3,1,1.0,0.008520126342773438
3,1,1.0,0.0068128108978271484
3,1,1.0,0.006592988967895508
3,1,1.0,0.006561994552612305
3,1,1.0,0.0071048736572265625
3,1,1.0,0.006762981414794922
3,1,1.0,0.006412029266357422
4,1,1.0,0.006721019744873047
4,1,1.0,0.006684064865112305
4,1,1.0,0.006451129913330078
4,1,1.0,0.006735086441040039
4,1,1.0,0.006763935089111328
4,1,1.0,0.006598234176635742
4,1,1.0,0.006597042083740234
4,1,1.0,0.006591081619262695
4,1,1.0,0.007007122039794922
4,1,1.0,0.0065991878509521484
4,1,1.0,0.006509065628051758
4,1,1.0,0.006836891174316406
4,1,1.0,0.006515979766845703
4,1,1.0,0.007056713104248047
4,1,1.0,0.006734132766723633
4,1,1.0,0.006602048873901367
4,1,1.0,0.006882905960083008
4,1,1.0,0.006490230560302734
4,1,1.0,0.006979942321777344
4,1,1.0,0.0068280696868896484
4,1,1.0,0.0066030025482177734
4,1,1.0,0.006603717803955078
4,1,1.0,0.0067746639251708984
4,1,1.0,0.007012128829956055
4,1,1.0,0.00684809684753418
4,1,1.0,0.0068569183349609375
4,1,1.0,0.006877899169921875
4,1,1.0,0.00673985481262207
4,1,1.0,0.006989002227783203
4,1,1.0,0.006414175033569336
5,1,1.0,0.006601095199584961
5,1,1.0,0.006589174270629883
5,1,1.0,0.006410837173461914
5,1,1.0,0.00697016716003418
5,1,1.0,0.0064849853515625
5,1,1.0,0.00675201416015625
5,1,1.0,0.006471157073974609
5,1,1.0,0.006832122802734375
5,1,1.0,0.006948709487915039
5,1,1.0,0.006807088851928711
5,1,1.0,0.006477832794189453
5,1,1.0,0.006841897964477539
5,1,1.0,0.006896257400512695
5,1,1.0,0.008019208908081055
5,1,1.0,0.007050991058349609
5,1,1.0,0.007591962814331055
5,1,1.0,0.0074460506439208984
5,1,1.0,0.006833791732788086
5,1,1.0,0.008130073547363281
5,1,1.0,0.006936788558959961
5,1,1.0,0.006921052932739258
5,1,1.0,0.006641864776611328
5,1,1.0,0.006788969039916992
5,1,1.0,0.007428169250488281
5,1,1.0,0.00846409797668457
5,1,1.0,0.006880044937133789
5,1,1.0,0.006883144378662109
5,1,1.0,0.006407022476196289
5,1,1.0,0.006806135177612305
5,1,1.0,0.0066301822662353516
6,1,1.0,0.007217884063720703
6,1,1.0,0.006418943405151367
6,1,1.0,0.0065729618072509766
6,1,1.0,0.00677037239074707
6,1,1.0,0.006788730621337891
6,1,1.0,0.006907224655151367
6,1,1.0,0.006620883941650391
6,1,1.0,0.0067250728607177734
6,1,1.0,0.0068471431732177734
6,1,1.0,0.006652116775512695
6,1,1.0,0.0065767765045166016
6,1,1.0,0.006558895111083984
6,1,1.0,0.006514787673950195
6,1,1.0,0.007856130599975586
6,1,1.0,0.007039785385131836
6,1,1.0,0.00718998908996582
6,1,1.0,0.006613969802856445
6,1,1.0,0.006977081298828125
6,1,1.0,0.007096052169799805
6,1,1.0,0.007882118225097656
6,1,1.0,0.007956981658935547
6,1,1.0,0.006793975830078125
6,1,1.0,0.0067920684814453125
6,1,1.0,0.007244110107421875
6,1,1.0,0.006660938262939453
6,1,1.0,0.006757259368896484
6,1,1.0,0.0068438053131103516
6,1,1.0,0.007297039031982422
6,1,1.0,0.007844924926757812
6,1,1.0,0.006916046142578125
