Number of People,Number of Items,Optimal P-Envy,Wall Clock Time
1,1,0.0,0.0060727596282958984
1,1,0.0,0.00436091423034668
1,1,0.0,0.004349946975708008
1,1,0.0,0.005356788635253906
1,1,0.0,0.0051839351654052734
1,1,0.0,0.005225419998168945
1,1,0.0,0.005517005920410156
1,1,0.0,0.004804134368896484
1,1,0.0,0.004455089569091797
1,1,0.0,0.005321025848388672
1,1,0.0,0.006016969680786133
1,1,0.0,0.004599809646606445
1,1,0.0,0.004401206970214844
1,1,0.0,0.0056078433990478516
1,1,0.0,0.005105018615722656
1,1,0.0,0.0048868656158447266
1,1,0.0,0.004416942596435547
1,1,0.0,0.004683971405029297
1,1,0.0,0.004540920257568359
1,1,0.0,0.004395961761474609
1,1,0.0,0.004587888717651367
1,1,0.0,0.004529237747192383
1,1,0.0,0.004436969757080078
1,1,0.0,0.0045430660247802734
1,1,0.0,0.004435062408447266
1,1,0.0,0.004603147506713867
1,1,0.0,0.005511045455932617
1,1,0.0,0.005288839340209961
1,1,0.0,0.004389047622680664
1,1,0.0,0.004548072814941406
2,1,0.2925783622010232,0.00978398323059082
2,1,0.31983435512575764,0.008043050765991211
2,1,0.11078959033926333,0.007298707962036133
2,1,0.22916627049779037,0.009289979934692383
2,1,0.0,0.00800323486328125
2,1,0.5546750444997285,0.007958173751831055
2,1,0.0,0.008413314819335938
2,1,0.0,0.007833003997802734
2,1,0.0,0.00776982307434082
2,1,0.3898493491045438,0.008713960647583008
2,1,0.5452328795746032,0.008381843566894531
2,1,0.44596079606544653,0.0072977542877197266
2,1,0.0,0.00797414779663086
2,1,0.0,0.007456064224243164
2,1,0.07790398248191654,0.009433984756469727
2,1,0.0,0.008033037185668945
2,1,0.0,0.008092880249023438
2,1,0.4027564964269763,0.008015871047973633
2,1,0.0,0.007798910140991211
2,1,0.33288521359581846,0.007659196853637695
2,1,0.0,0.00742793083190918
2,1,0.0,0.0074498653411865234
2,1,0.05227204883133019,0.007543802261352539
2,1,0.08039094688996234,0.007508993148803711
2,1,0.2873947401432677,0.008114099502563477
2,1,0.2516959828003224,0.007810115814208984
2,1,0.3660050153429919,0.00826406478881836
2,1,0.0,0.008053064346313477
2,1,0.0,0.007569313049316406
2,1,0.4001794754417438,0.0075380802154541016
3,1,0.43135430706702643,0.013180732727050781
3,1,0.26453926596621524,0.01175999641418457
3,1,0.2582668876872565,0.010903120040893555
3,1,0.491792486325238,0.01164102554321289
3,1,0.5207493091877659,0.011334896087646484
3,1,0.6049971014145953,0.01166391372680664
3,1,0.19105050781908806,0.013971090316772461
3,1,0.21287116330207828,0.012036800384521484
3,1,0.5170594051884595,0.011862039566040039
3,1,0.5307476955582621,0.012549161911010742
3,1,0.5243062473113481,0.012041807174682617
3,1,0.1942726746787909,0.012148141860961914
3,1,0.25134347803764234,0.013204097747802734
3,1,0.023540266744954685,0.011789083480834961
3,1,0.6150570315648012,0.01498866081237793
3,1,0.5246501482548536,0.011924028396606445
3,1,0.31061694280412705,0.012022733688354492
3,1,0.5046906325667581,0.011600255966186523
3,1,0.3473449330970014,0.011550188064575195
3,1,0.2581145456889141,0.011799812316894531
3,1,0.20513998062711492,0.012272834777832031
3,1,0.34133776884245237,0.012730121612548828
3,1,0.591460696279705,0.012176990509033203
3,1,0.32149660220533044,0.01116800308227539
3,1,0.6711359114169639,0.01352381706237793
3,1,0.3834350563726015,0.010785102844238281
3,1,0.1743589058497171,0.011143207550048828
3,1,0.4226103245101858,0.010859012603759766
3,1,0.40102481495417763,0.01133584976196289
3,1,0.18580654557751392,0.011917829513549805
4,1,0.415072985168357,0.013813972473144531
4,1,0.6416107722499267,0.012349843978881836
4,1,0.59433702573097,0.011742830276489258
4,1,0.1668222929538805,0.012237071990966797
4,1,0.6647227420611364,0.012006282806396484
4,1,0.5636218793356821,0.011342287063598633
4,1,0.49678803413904854,0.013585805892944336
4,1,0.4413403165795958,0.01737189292907715
4,1,0.4300943479728378,0.012261152267456055
4,1,0.6209318348024915,0.012181997299194336
4,1,0.6830600481864624,0.01254725456237793
4,1,0.5576447941534401,0.011837005615234375
4,1,0.35068410492959157,0.012566804885864258
4,1,0.568003227887514,0.011792182922363281
4,1,0.42453400316179873,0.011550188064575195
4,1,0.5224911327757888,0.013052225112915039
4,1,0.4771715551440314,0.01172184944152832
4,1,0.4780144951246377,0.011918783187866211
4,1,0.6094130432642891,0.012912273406982422
4,1,0.5475184622145108,0.013656139373779297
4,1,0.16595731058067173,0.011752843856811523
4,1,0.5530158303903288,0.011893033981323242
4,1,0.4244693074405082,0.011725187301635742
4,1,0.6374984029503874,0.01217198371887207
4,1,0.4963232178362549,0.012991905212402344
4,1,0.5272521602194212,0.012127161026000977
4,1,0.6300053710139695,0.01154470443725586
4,1,0.36236395540683686,0.01146078109741211
4,1,0.5331006731991761,0.01177215576171875
4,1,0.6366237977369434,0.011762142181396484
5,1,0.6384463420995902,0.014013290405273438
5,1,0.2707187077190511,0.012226104736328125
