Number of People,Number of Items,Optimal P-Envy,Wall Clock Time
1,1,0.0,0.005710124969482422
1,1,0.0,0.005209207534790039
1,1,0.0,0.005585193634033203
1,1,0.0,0.004927158355712891
1,1,0.0,0.005096912384033203
1,1,0.0,0.005166769027709961
1,1,0.0,0.005488157272338867
1,1,0.0,0.004998922348022461
1,1,0.0,0.004552364349365234
1,1,0.0,0.004575967788696289
1,1,0.0,0.005182027816772461
1,1,0.0,0.005063772201538086
1,1,0.0,0.005321979522705078
1,1,0.0,0.00541996955871582
1,1,0.0,0.0045430660247802734
1,1,0.0,0.0047817230224609375
1,1,0.0,0.00591588020324707
1,1,0.0,0.004687309265136719
1,1,0.0,0.0049228668212890625
1,1,0.0,0.004592180252075195
1,1,0.0,0.005048274993896484
1,1,0.0,0.005638837814331055
1,1,0.0,0.004876136779785156
1,1,0.0,0.004378080368041992
1,1,0.0,0.005081892013549805
1,1,0.0,0.005658864974975586
1,1,0.0,0.004743099212646484
1,1,0.0,0.0046710968017578125
1,1,0.0,0.004578113555908203
1,1,0.0,0.004448890686035156
2,1,0.0,0.00028896331787109375
2,1,0.0,0.00013113021850585938
2,1,0.0,0.00011491775512695312
2,1,0.0,0.00011205673217773438
2,1,0.0,0.00012302398681640625
2,1,0.0,0.0001342296600341797
2,1,0.0,0.0001468658447265625
2,1,0.0,0.00015306472778320312
2,1,0.0,0.0001239776611328125
2,1,0.0,0.00012922286987304688
2,1,0.0,0.00011014938354492188
2,1,0.0,0.0001289844512939453
2,1,0.0,0.00013184547424316406
2,1,0.0,9.298324584960938e-05
2,1,0.0,9.202957153320312e-05
2,1,0.0,0.00011610984802246094
2,1,0.0,0.00011181831359863281
2,1,0.0,0.00013184547424316406
2,1,0.0,0.00017309188842773438
2,1,0.0,0.00014281272888183594
2,1,0.0,0.00014591217041015625
2,1,0.0,0.00018715858459472656
2,1,0.0,0.000102996826171875
2,1,0.0,9.799003601074219e-05
2,1,0.0,8.797645568847656e-05
2,1,0.0,0.00010132789611816406
2,1,0.0,8.916854858398438e-05
2,1,0.0,0.00010085105895996094
2,1,0.0,8.58306884765625e-05
2,1,0.0,8.702278137207031e-05
3,1,0.0,9.918212890625e-05
3,1,0.0,8.797645568847656e-05
3,1,0.0,8.606910705566406e-05
3,1,0.0,9.822845458984375e-05
3,1,0.0,8.511543273925781e-05
3,1,0.0,8.487701416015625e-05
3,1,0.0,0.00013065338134765625
3,1,0.0,0.00012111663818359375
3,1,0.0,0.00010800361633300781
3,1,0.0,0.0001010894775390625
3,1,0.0,9.107589721679688e-05
3,1,0.0,9.894371032714844e-05
3,1,0.0,8.893013000488281e-05
3,1,0.0,8.702278137207031e-05
3,1,0.0,8.726119995117188e-05
3,1,0.0,9.822845458984375e-05
3,1,0.0,0.00010013580322265625
3,1,0.0,0.00011014938354492188
3,1,0.0,0.00015997886657714844
3,1,0.0,0.0001480579376220703
3,1,0.0,0.00015211105346679688
3,1,0.0,0.00011801719665527344
3,1,0.0,0.00013113021850585938
3,1,0.0,0.00010609626770019531
3,1,0.0,0.00011682510375976562
3,1,0.0,0.00012493133544921875
3,1,0.0,0.0001251697540283203
3,1,0.0,0.0001399517059326172
3,1,0.0,0.00011301040649414062
3,1,0.0,9.107589721679688e-05
4,1,0.0,9.799003601074219e-05
4,1,0.0,0.00012302398681640625
4,1,0.0,0.00010991096496582031
4,1,0.0,9.894371032714844e-05
4,1,0.0,0.00011396408081054688
4,1,0.0,9.608268737792969e-05
4,1,0.0,0.00011014938354492188
4,1,0.0,0.00010895729064941406
4,1,0.0,0.00010633468627929688
4,1,0.0,0.0001270771026611328
4,1,0.0,0.00012803077697753906
4,1,0.0,0.00011205673217773438
4,1,0.0,0.00011205673217773438
4,1,0.0,0.00010800361633300781
4,1,0.0,0.00011110305786132812
4,1,0.0,0.00012993812561035156
4,1,0.0,0.00011110305786132812
4,1,0.0,0.0001361370086669922
4,1,0.0,0.00011897087097167969
4,1,0.0,0.00010085105895996094
4,1,0.0,9.703636169433594e-05
4,1,0.0,9.775161743164062e-05
4,1,0.0,0.00010895729064941406
4,1,0.0,9.703636169433594e-05
4,1,0.0,9.584426879882812e-05
4,1,0.0,9.703636169433594e-05
4,1,0.0,0.0001289844512939453
4,1,0.0,0.00014591217041015625
4,1,0.0,0.00012493133544921875
4,1,0.0,0.00011706352233886719
5,1,0.0,0.00013303756713867188
5,1,0.0,0.00017309188842773438
5,1,0.0,0.00015497207641601562
5,1,0.0,0.00012993812561035156
5,1,0.0,0.0001659393310546875
5,1,0.0,0.00014519691467285156
5,1,0.0,0.0001220703125
5,1,0.0,0.0001690387725830078
5,1,0.0,0.00013780593872070312
5,1,0.0,0.00014400482177734375
5,1,0.0,0.00012063980102539062
5,1,0.0,0.000141143798828125
5,1,0.0,0.00013113021850585938
5,1,0.0,0.00012373924255371094
5,1,0.0,0.000125885009765625
5,1,0.0,0.00012683868408203125
5,1,0.0,0.0001068115234375
5,1,0.0,0.00013399124145507812
5,1,0.0,0.000125885009765625
5,1,0.0,0.00011491775512695312
5,1,0.0,0.00013327598571777344
5,1,0.0,0.0001380443572998047
5,1,0.0,0.00015282630920410156
5,1,0.0,0.00013709068298339844
5,1,0.0,0.00012993812561035156
5,1,0.0,0.00013494491577148438
5,1,0.0,0.0001652240753173828
5,1,0.0,0.00015783309936523438
5,1,0.0,0.00013899803161621094
5,1,0.0,0.00011587142944335938
6,1,0.0,0.0001480579376220703
6,1,0.0,0.0001518726348876953
6,1,0.0,0.00014591217041015625
6,1,0.0,0.0001480579376220703
6,1,0.0,0.00013399124145507812
6,1,0.0,0.0001327991485595703
6,1,0.0,0.00013065338134765625
6,1,0.0,0.00012493133544921875
6,1,0.0,0.00012421607971191406
6,1,0.0,0.00012493133544921875
6,1,0.0,0.00012421607971191406
6,1,0.0,0.0001227855682373047
6,1,0.0,0.0001232624053955078
6,1,0.0,0.0001227855682373047
6,1,0.0,0.00015807151794433594
6,1,0.0,0.00017404556274414062
6,1,0.0,0.00017118453979492188
6,1,0.0,0.00019407272338867188
6,1,0.0,0.0001747608184814453
6,1,0.0,0.00016808509826660156
6,1,0.0,0.00015592575073242188
6,1,0.0,0.00013065338134765625
6,1,0.0,0.00013327598571777344
6,1,0.0,0.00013899803161621094
6,1,0.0,0.00012493133544921875
6,1,0.0,0.0001239776611328125
6,1,0.0,0.0001289844512939453
6,1,0.0,0.00012493133544921875
6,1,0.0,0.0001499652862548828
6,1,0.0,0.00013780593872070312
7,1,0.0,0.0001552104949951172
7,1,0.0,0.00014090538024902344
7,1,0.0,0.000141143798828125
7,1,0.0,0.0001430511474609375
7,1,0.0,0.00020003318786621094
7,1,0.0,0.0002090930938720703
7,1,0.0,0.00022411346435546875
7,1,0.0,0.000164031982421875
7,1,0.0,0.000141143798828125
7,1,0.0,0.00015091896057128906
7,1,0.0,0.0001399517059326172
7,1,0.0,0.00015425682067871094
7,1,0.0,0.00015497207641601562
7,1,0.0,0.00014019012451171875
7,1,0.0,0.00014019012451171875
7,1,0.0,0.00017213821411132812
7,1,0.0,0.0001499652862548828
7,1,0.0,0.00015997886657714844
7,1,0.0,0.0001480579376220703
7,1,0.0,0.00015807151794433594
7,1,0.0,0.0001690387725830078
7,1,0.0,0.00015401840209960938
7,1,0.0,0.00015997886657714844
7,1,0.0,0.00019407272338867188
7,1,0.0,0.00016069412231445312
7,1,0.0,0.00017213821411132812
7,1,0.0,0.00019407272338867188
7,1,0.0,0.00028014183044433594
7,1,0.0,0.0002071857452392578
7,1,0.0,0.0001850128173828125
1,2,0.0,0.0059969425201416016
1,2,0.0,0.005555152893066406
1,2,0.0,0.005419015884399414
1,2,0.0,0.005331993103027344
1,2,0.0,0.0052759647369384766
1,2,0.0,0.005438089370727539
1,2,0.0,0.005814075469970703
1,2,0.0,0.00537872314453125
1,2,0.0,0.005220890045166016
1,2,0.0,0.005347728729248047
1,2,0.0,0.005440950393676758
1,2,0.0,0.006020069122314453
1,2,0.0,0.005378007888793945
1,2,0.0,0.005319833755493164
1,2,0.0,0.005838155746459961
1,2,0.0,0.005883932113647461
1,2,0.0,0.00613713264465332
1,2,0.0,0.0065081119537353516
1,2,0.0,0.005247831344604492
1,2,0.0,0.006161928176879883
1,2,0.0,0.006154060363769531
1,2,0.0,0.005774736404418945
1,2,0.0,0.0053060054779052734
1,2,0.0,0.00637507438659668
1,2,0.0,0.006024360656738281
1,2,0.0,0.005191326141357422
1,2,0.0,0.00584101676940918
1,2,0.0,0.006541013717651367
1,2,0.0,0.005230903625488281
1,2,0.0,0.0052318572998046875
2,2,0.0,0.005193948745727539
2,2,0.0,0.005232810974121094
2,2,0.0,0.0053560733795166016
2,2,0.0,0.0062711238861083984
2,2,0.0,0.005795717239379883
2,2,0.0,0.0054302215576171875
2,2,0.0,0.005431175231933594
2,2,0.0,0.006659746170043945
2,2,0.0,0.005585908889770508
2,2,0.0,0.005795001983642578
2,2,0.0,0.005245208740234375
2,2,0.0,0.005322933197021484
2,2,0.0,0.006133079528808594
2,2,0.0,0.006356000900268555
2,2,0.0,0.006391048431396484
2,2,0.0,0.005860090255737305
2,2,0.0,0.005511045455932617
2,2,0.0,0.008463144302368164
2,2,0.0,0.006231784820556641
2,2,0.0,0.005913734436035156
2,2,0.0,0.005455732345581055
2,2,0.0,0.005873203277587891
2,2,0.0,0.005357980728149414
2,2,0.0,0.005485057830810547
2,2,0.0,0.005405902862548828
2,2,0.0,0.00587773323059082
2,2,0.0,0.005656003952026367
2,2,0.0,0.005533933639526367
2,2,0.0,0.005601167678833008
2,2,0.0,0.005521059036254883
3,2,0.0,0.006496906280517578
3,2,0.0,0.006907939910888672
3,2,0.0,0.006433963775634766
3,2,0.0,0.006611824035644531
3,2,0.0,0.006304264068603516
3,2,0.0,0.006772279739379883
3,2,0.0,0.006589174270629883
3,2,0.0,0.006597042083740234
3,2,0.0,0.006891012191772461
3,2,0.0,0.006726741790771484
3,2,0.0,0.007009029388427734
3,2,0.0,0.0065538883209228516
3,2,0.0,0.00667119026184082
3,2,0.0,0.0065348148345947266
3,2,0.0,0.0069730281829833984
3,2,0.0,0.007903099060058594
3,2,0.0,0.006927967071533203
3,2,0.0,0.008097171783447266
3,2,0.0,0.008648395538330078
3,2,0.0,0.00864410400390625
3,2,0.0,0.007021188735961914
3,2,0.0,0.00662994384765625
3,2,0.0,0.006512880325317383
3,2,0.0,0.006742000579833984
3,2,0.0,0.0068089962005615234
3,2,0.0,0.006532907485961914
3,2,0.0,0.0068171024322509766
3,2,0.0,0.0065419673919677734
3,2,0.0,0.00728297233581543
3,2,0.0,0.0069580078125
4,2,0.0,0.006783962249755859
4,2,0.0,0.007066011428833008
4,2,0.0,0.0067920684814453125
4,2,0.0,0.00706791877746582
4,2,0.0,0.007463216781616211
4,2,0.0,0.006983041763305664
4,2,0.0,0.0067942142486572266
4,2,0.0,0.006989002227783203
4,2,0.0,0.007159709930419922
4,2,0.0,0.007366180419921875
4,2,0.0,0.0068759918212890625
4,2,0.0,0.00715184211730957
4,2,0.0,0.007175922393798828
4,2,0.0,0.006850242614746094
4,2,0.0,0.007008075714111328
